"","Estacao","Data_de_Amostragem","Ano","Hora_de_Amostragem","Latitude","Longitude","Aluminio_dissolvido","Aluminio_total","Bario_total","Calcio_total","Chumbo_total","Cobre_dissolvido","Cobre_total","Cromo_hexavalente","Cromo_total","Cromo_trivalente","Estanho_total","Ferro_dissolvido","Ferro_total","Magnesio_total","Manganes_total","Manganes_dissolvido","Niquel_total","Potassio_total","Potassio_dissolvido","Sodio_dissolvido","Sodio_total","Condutividade_eletrica_in_loco","Condutividade_eletrica_laboratorio","Fluoreto_ionizado","Fosforo_total","Solidos_dissolvidos_totais","Solidos_em_suspensao_totais","Solidos_totais","Turbidez"
"1","RD019",1997-09-02,"1997",1899-12-31 10:15:00,-20.02,-42.75,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6,NA,NA,0.04,NA,44.27,NA,15
"2","RD019",1997-11-11,"1997",1899-12-31 10:30:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,NA,NA,NA,NA,189.68,NA,60
"3","RD019",1998-03-19,"1998",1899-12-31 15:00:00,-20.02,-42.75,NA,0.367,0.05,NA,NA,NA,0.003,NA,NA,NA,NA,0.21,NA,NA,0.235,NA,0.005,NA,NA,2.61,NA,37.8,NA,NA,0.05,51.58,46.42,98,50
"4","RD019",1998-08-28,"1998",1899-12-31 08:35:00,-20.02,-42.75,NA,NA,0.2,4.52,0.005,NA,0.007,0.01,0.05,0.05,NA,0.12,NA,0.8712,0.11,NA,0.004,NA,1.42,3.71,NA,56.1,NA,NA,0.05,39,16,55,5.35
"5","RD019",1998-11-05,"1998",1899-12-31 14:25:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9,NA,NA,0.31,55,262,317,221
"6","RD019",1999-03-25,"1999",1899-12-31 14:50:00,-20.02,-42.75,NA,NA,0.2,4.52,0.011,NA,0.084,0.01,0.05,0.05,NA,0.31,NA,0.6534,0.18,NA,0.004,NA,1.2,3.27,NA,44.5,NA,NA,0.09,39,60,99,51.2
"7","RD019",1999-05-13,"1999",1899-12-31 13:35:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,NA,NA,0.02,42,12,54,11.6
"8","RD019",1999-08-19,"1999",1899-12-31 14:40:00,-20.02,-42.75,NA,0.63,0.2,3.44,0.005,NA,0.007,0.02,0.07,0.05,NA,0.05,NA,1.5246,0.09,NA,0.007,NA,1.19,4.97,NA,50.9,NA,NA,0.03,36,11,47,11.6
"9","RD019",1999-11-08,"1999",1899-12-31 14:05:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.3,NA,NA,0.23,49,273,322,223
"10","RD019",2000-02-15,"2000",1899-12-31 15:20:00,-20.02,-42.75,NA,3.43,0.2,3.4,0.029,NA,0.007,0.01,0.05,0.05,NA,0.27,NA,1.573,0.38,NA,0.012,NA,1.28,3,NA,40.7,NA,NA,0.13,39,160,199,133
"11","RD019",2000-05-03,"2000",1899-12-31 15:30:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,0.18,NA,NA,0.1,NA,NA,NA,NA,NA,NA,42.2,NA,NA,0.05,44,14,58,27.2
"12","RD019",2000-08-01,"2000",1899-12-31 15:45:00,-20.02,-42.75,NA,0.1,0.2,3.52,0.005,NA,0.007,0.01,0.05,0.05,NA,0.13,NA,1.9844,0.23,NA,0.008,NA,1.15,3.84,NA,47.7,NA,NA,0.03,33,18,51,14.3
"13","RD019",2000-10-26,"2000",1899-12-31 14:50:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,49.3,NA,NA,0.03,39,23,62,27
"14","RD019",2001-02-13,"2001",1899-12-31 15:05:00,-20.02,-42.75,NA,4.45,0.036,4.2,0.021,NA,0.007,0.01,0.04,0.04,NA,0.4,NA,1.3794,0.176,NA,0.004,NA,1.16,2.13,NA,43.8,NA,NA,0.08,33,65,98,83.3
"15","RD019",2001-05-03,"2001",1899-12-31 14:40:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,48.1,NA,NA,0.06,44,20,64,17.3
"16","RD019",2001-08-14,"2001",1899-12-31 15:00:00,-20.02,-42.75,NA,0.6,0.021,4.24,0.005,NA,0.007,0.01,0.04,0.04,NA,0.07,NA,1.2584,0.058,NA,0.004,NA,1.43,4.76,NA,52.8,NA,NA,0.03,39,14,53,5.78
"17","RD019",2001-10-23,"2001",1899-12-31 15:20:00,-20.02,-42.75,NA,NA,NA,NA,NA,NA,0.041,NA,NA,NA,NA,NA,NA,NA,0.421,NA,NA,NA,NA,NA,NA,53,51,NA,0.08,51,83,134,84.6
